placa;fecha;filtro_aceite;filtro_aire;filtro_diesel;engrase;este_cambio;proximo_cambio;observaciones
P969KWM;12/09/2025;SI;SI;NO;NO;172,651;175,651;C/F CABINA
P285KLX;12/09/2025;SI;NO;NO;NO;110,468;113,468;C/TENSOR Y FAJA
P332JBK;12/09/2025;SI;SI;NO;SI;139,146;144,146;C/F CABINA
P956JGZ;12/09/2025;NO;NO;NO;NO;NO;NO;C/BUJIAS Y ESPIGAS DE BOBINA
P221JXJ;13/09/2025;SI;NO;NO;NO;S/F;S/F;
P754FQC;13/09/2025;SI;SI;NO;NO;185,527;187,527;
P894LCN;13/09/2025;SI;SI;NO;NO;164,042;169,042;C/F CABINA
P940JZJ;13/09/2025;SI;SI;NO;NO;149,552;151,552;C/F CABINA
P243JTG;13/09/2025;SI;SI;NO;NO;175,447;178,447;C/F CABINA
P686JGZ;13/09/2025;NO;NO;NO;NO;105,654;NO;C/ACEITE CAJA AUTOM PROX/C 115,654
P699JWK;13/09/2025;NO;NO;NO;NO;NO;NO;C/ PINES
P452JGZ;15/09/2025;SI;NO;NO;NO;52,087;57,087;
P033KRW;15/09/2025;NO;NO;NO;NO;NO;NO;MECANICA VARIA ORDEN NO. 13251
C560BSN;16/09/2025;SI;SI;SI;SI;350,493;355,493;C/F CABINA
P305FKP;16/09/2025;SI;NO;NO;NO;215,839;217,839;
P637KQK;16/09/2025;SU;SI;NO;NO;288,020;291,000;C/F CABINA
C603BYG;16/09/2025;NO;NO;NO;NO;NO;NO;RECT TAMBORES TRAS, FRENOS TRAS, C/PASTILLAS DELANT
P567HKG;16/09/2025;SI;SI;NO;NO;42,659;47,659;C/F CABINA
P664JJD;16/09/2025;NO;NO;NO;NO;NO;NO;FRENOS DELANT, C/HULES 1/2 LUNA
P029JGZ;16/09/2025;SI;SI;NO;NO;102,509;105,509;
P521JSG;29/08/2025;NO;NO;NO;NO;NO;NO;LAV MOTOR, FRENOS DELANT Y TRASER, RECTIF DISCOS Y TAMBORES
P897JRM;16/09/2025;SI;SI;SI;SI;63,545;68,545;C/F CABINA
P521JSG;16/09/2025;SI;NO;SI T/A SI;SI;50,617;55,617;
P988GSM;17/09/2025;NO;NO;NO;NO;NO;NO;C/BUFAS DELANTERAS
P815JGF;17/09/2025;SI;SI;NO;SI;54,214;59,214;C/F CABINA, LAVADO DE MOTOR
P183KVB;17/09/2025;NO;NO;NO;NO;NO;NO;C/BUFA IZQUIERDA, RECTIF DE DISCOS DELANTEROS, FRENOS DELANTEROS
P417GFQ;17/09/2025;NO;NO;NO;NO;NO;NO;MECANICA VARIA ORDEN NO. 13287
P577KRR;19/09/2025;SI;SI;SI;NO;57,714;62,714;C/F CABINA, LAVADO DE MOTOR
P699JWK;17/09/2025;NO;NO;NO;NO;NO;NO;DESMONT Y MONTAJE PINES DE MORDAZA
P568JQX;17/09/2025;NO;NO;NO;NO;NO;NO;C/BUFAS TRASERAS, C/COJINETE FLECHA DERECHA
P164KCC;18/09/2025;SI;NO;NO;NO;78,706;83,706;
P458LKB;18/09/2025;SI;NO;NO;SI;1,467;6,467;
P156HXY;18/09/2025;SI;SI;NO;SI;90,920;95,920;C/A CAJA PROX C/120,920, C/F CABINA
P507JGZ;18/09/2025;SI;SI;NO;NO;219,989;22,989;C/F CABINA
P244LFV;18/09/2025;SI;SI;NO;NO;106,215;109,215;C/F CABINA, LAVADO DE MOTOR
P891LGY;18/09/2025;SI;SI;NO;SI;154,298;157,298;C/CABINA
P062KSX;18/09/2025;SI;SI;NO;NO;153,581;156,581;
P564KCZ;18/09/2025;NO;NO;NO;NO;113,604;123,604;C/A CAJA AUTOMATICA, LIMPIEZA CUERPO VALVULAS
P455JWR;19/09/2025;SI;NO;NO;NO;145,313;148,313;
P340CQM;19/09/2025;SI;SI;NO;NO;193,115;196,115;
P954JNL;19/09/2025;SI;NO;NO;NO;178,141;181,141;
P187FVJ;19/09/2025;SI;SI;SI;NO;175,703;180,700;C/F CABINA, MEC VARIA ORDEN NO. 13302, LAV MOTOR
P188JNM;19/09/2025;SI;NO;NO;SI;113,324;118,324;C/F CABINA, FRENOS TRASER, LAV DE MOTOR
P489LFM;19/09/2025;SI;SI;NO;NO;89,905;92,905;C/F CABINA, C/A CAJA PROX/C 99,905, RECTIF DISCOS DELANT Y TRAEROS, FRENOS DELANT Y TRASER. LIMP CUERPO VALVULAS
P281JRM;20/09/2025;SI;NO;NO;NO;145,023;148,023;C/F CABINA
P328KNP;20/09/2025;SI;SI;NO;NO;200,538;205,538;
P715FVH;20/09/2025;SI;SI;NO;SI;292,916;297,916;C/F CABINA, LAV DE MOTOR
P379HXY;20/09/2025;SI;SI;NO;SI;150,904;155,904;C/F CABINA, LAV DE MOTOR
P385KVB;20/09/2025;SI;NO;NO;NO;102,354;105,354;
P631KLX;20/09/2025;SI;SI;NO;NO;149,749;152,749;
P337JGZ;20/09/2025;SI;SI;NO;NO;206,696;209,696;
P273KFR;20/09/2025;NO;NO;NO;NO;100,515;110,515;C/A CAJA AUTOMATICA
P127GWQ;20/09/2025;SI;SI;NO;NO;127,333;130,333;C/F CABINA
