codigo;nombre;costo;stock;stock_minimo;descripcion;type_insumo_id;precio;;;;;
0077;LITRO MOTUL TEKMA MEGA X 15W40;48;10;1;;1;80;;;;;
0078;LITRO MOTUL 20W50 4T;54;10;1;;1;90;;;;;
0079;LITRO MOTUL 5W40;78;10;1;;1;130;;;;;
0080;LITRO MOTUL 10W30;51;10;1;;1;85;;;;;
0081;LITRO EUROL 20W50;45;10;1;;1;75;;;;;
0082;LITRO EUROL 15W40;45;10;1;;1;75;;;;;
0083;LITRO EUROL 10W40;45;10;1;;1;75;;;;;
0084;LITRO EUROL 10W30;45;10;1;;1;75;;;;;
0085;LITRO VALVOLINE 20W50;42;10;1;;1;70;;;;;
0086;LITRO VALVOLINE 15W40;42;10;1;;1;70;;;;;
0087;LITRO VALVOLINE MAX LIFE 20W50;60;10;1;;1;100;;;;;
0088;LITRO VALVOLINE MAX LIFE 10W30;60;10;1;;1;100;;;;;
0089;LITRO VALVOLINE MAX LIFE 5W30;60;10;1;;1;100;;;;;
0090;LITRO VALVOLINE MAX LIFE 5W20;60;10;1;;1;100;;;;;
0091;LITRO VALVOLINE SYNPOWER 0W20;93;10;1;;1;155;;;;;
0092;LITRO VALVOLINE SYNPOWER 5W20;93;10;1;;1;155;;;;;
0093;LITRO VALVOLINE SYNPOWER 5W30;93;10;1;;1;155;;;;;
0094;LITRO VALVOLINE SYNPOWER 10W30;93;10;1;;1;155;;;;;
0095;LITRO VALVOLINE MAX LIFE ATF;63;10;1;;1;105;;;;;
0096;LITRO VALVOLINE SINTETICO 75W90 GL5;123;10;1;;1;205;;;;;
0097;LITRO VALVOLINE MTF SYNCHROMESH;78;10;1;;1;130;;;;;
0098;LITRO VALVOLINE 75W90 GL5;93;10;1;;1;155;;;;;
0099;LITRO VALVOLINE 80W90 GL5;63;10;1;;1;105;;;;;
0100;LITRO DELO 15W40;45;10;1;;1;75;;;;;
0101;LITRO SHELL HELIX 20W50;36;10;1;;1;60;;;;;
0102;LITRO SHELL HELIX 40;30;10;1;;1;50;;;;;
0103;LITRO SHELL RIMULA 15W40;36;10;1;;1;60;;;;;
0104;LITRO HAVOLINE 20W50;36;10;1;;1;60;;;;;
0105;LITRO HAVOLINE 20W50 4T;39;10;1;;1;65;;;;;
0106;LITRO HAVOLINE 2T;39;10;1;;1;65;;;;;
0107;LITRO SUPREME 20W50;39;10;1;;1;65;;;;;
0108;LITRO KENDALL 20W50 4T;36;10;1;;1;60;;;;;
0109;LITRO KENDALL VERSATRANS;42;10;1;;1;70;;;;;
0110;LITRO KENDALL DEXRON VI;48;10;1;;1;80;;;;;
0111;LITRO SUPER S 85W140;42;10;1;;1;70;;;;;
0112;LITRO SUPER S 80W90;42;10;1;;1;70;;;;;
0113;LITRO ABRO ATF MULTIVEHICULO;36;10;1;;1;60;;;;;
0114;LITRO VALVOLINE SINTETICO DCT;93;10;1;;1;155;;;;;
0115;LITRO KENDALL VERSATRANS CVT PLUS;57;10;1;;1;95;;;;;
0116;FILTRO ACEITE PH 8A / 51515 / TL30001 ;30;6;1;;2;50;;;;;
0117;FILTRO ACEITE PH 24;39;8;1;;2;65;;;;;
0118;FILTRO ACEITE PH 44 / 51042;45;9;1;;2;75;;;;;
0119;FILTRO ACEITE PH 47 / 51040 / PH 3387A / TL 10111;30;10;1;;2;50;;;;;
0120;FILTRO ACEITE PH 51 / 51036 / PH 3980 / TL 20173;30;15;1;;2;50;;;;;
0121;FILTRO ACEITE PH 59 / 51522;45;2;1;;2;75;;;;;
0122;FILTRO ACEITE PH 253 / PH16 / 51085;36;4;1;;2;60;;;;;
0123;FILTRO ACEITE PH 400 / 51516 / PH3300;33;7;1;;2;55;;;;;
0124;FILTRO ACEITE PH 500 / 57502 / MGL57502;42;11;1;;2;70;;;;;
0125;FILTRO ACEITE PH 561 / 51342 / PH 2870 / TL 20252;30;3;1;;2;50;;;;;
0126;FILTRO ACEITE PH 820 / 51372 / PH2 / TL 24651;45;5;1;;2;75;;;;;
0127;FILTRO PH 1218;30;7;1;;2;50;;;;;
0128;FILTRO ACEITE  PH 2801 / 51626;45;6;1;;2;75;;;;;
0129;FILTRO ACEITE PH 2808 / 51334 / PH 3593A / PH 9688 / TL 14459;30;3;1;;2;50;;;;;
0130;FILTRO ACEITE PH 2816;45;3;1;;2;75;;;;;
0131;FILTRO ACEITE PH 2835 / 51348 / PH3614 / TL 10241;30;8;1;;2;50;;;;;
0132;FILTRO ACEITE PH 2840 / 51394 / PH4967 / TL 14476;30;3;1;;2;50;;;;;
0133;FILTRO ACEITE PH 2863B;54;3;1;;2;90;;;;;
0134;FILTRO ACEITE PH 2867 / 51356 / PH7317 / TL 14610;30;3;1;;2;50;;;;;
0135;FILTRO ACEITE PH 2876 / 51365 / PH 6607 / TL 14612;30;3;1;;2;50;;;;;
0136;FILTRO ACEITE PH 2903;45;3;1;;2;75;;;;;
0137;FILTRO ACEITE PH 4403 / 51806;51;5;1;;2;85;;;;;
0138;FILTRO ACEITE PH 48 / 57060 / 10060;51;6;1;;2;85;;;;;
0139;FILTRO ACEITE PLBS 060 / PLB 11462 / OP 564-1;48;3;1;;2;80;;;;;
0140;FILTRO ACEITE WL 10290;45;9;1;;2;75;;;;;
0141;FILTRO ACEITE WL 10286;84;3;1;;2;140;;;;;
0142;FILTRO ACEITE 51521 / PH 2820A / PH 2861B;42;5;1;;2;70;;;;;
0143;FILTRO ACEITE AA 121006;9;2;1;;2;15;;;;;
0144;FILTRO ACEITE 26310-27200 / PSL 562;42;1;1;;2;70;;;;;
0145;FILTRO ACEITE 26310-27420;42;3;1;;2;70;;;;;
0146;FILTRO ACEITE FF-OE674/6 / WL 7478;48;3;1;;2;80;;;;;
0147;FILTRO ACEITE PCBS 026 / ML 9540 / 15209-2W200;36;3;1;;2;60;;;;;
0148;FILTRO ACEITE P 967 / OE 685/1 / CH 9972;39;3;1;;2;65;;;;;
0149;FILTRO ACEITE P 980 / OE 685/2 / PCB 10358;39;5;1;;2;65;;;;;
0150;FILTRO ACEITE PCB 9641 / OE 665/2;36;10;1;;2;60;;;;;
0151;FILTRO ACEITE WL 10164 / CH 10855;66;5;1;;2;110;;;;;
0152;FILTRO DIESEL PP 838/4;129;4;1;;4;215;;;;;
0153;FILTRO ACEITE FF-OE 649/9/ CH 10075;54;3;1;;2;90;;;;;
0154;FILTRO ACEITE 57082  / FF-OE648-3 / CH 9018;39;5;1;;2;65;;;;;
